0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /upload/item/shop/2/2019053116120988863.jpg HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:03 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:05 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=2&pageSize=10&productCategoryId=&productName=&shopId=2 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/frontend/productdetail?productId=67 HTTP/1.1" 200 3462
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/resources/css/frontend/productdetail/productdetail.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/resources/js/frontend/productdetail.js HTTP/1.1" 200 1623
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/frontend/listproductdetailpageinfo?productId=67 HTTP/1.1" 200 969
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /upload/item/shop/2/2019053116120988863.jpg HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:06 +0800] "GET /o2o/frontend/generateqrcode4product?productId=67 HTTP/1.1" 404 1064
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:10 +0800] "GET /o2o/frontend/shopdetail?shopId=2 HTTP/1.1" 200 5502
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:10 +0800] "GET /o2o/resources/css/frontend/shopdetail/shopdetail.css HTTP/1.1" 200 384
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:10 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:10 +0800] "GET /o2o/resources/js/frontend/shopdetail.js HTTP/1.1" 200 5433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /o2o/frontend/listshopdetailpageinfo?shopId=2 HTTP/1.1" 200 1040
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /o2o/frontend/listproductsbyshop?pageIndex=1&pageSize=10&productCategoryId=&productName=&shopId=2 HTTP/1.1" 200 1377
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /upload/item/shop/13/2017060523302118864.jpg HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /upload/item/shop/2/2019052710421017729.jpg HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:11 +0800] "GET /upload/item/shop/2/2019053116120988863.jpg HTTP/1.1" 200 6044
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /o2o/frontend/shoplist?parentId=9 HTTP/1.1" 200 5067
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /o2o/resources/css/frontend/shoplist/shoplist.css HTTP/1.1" 200 450
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /o2o/resources/js/frontend/shoplist.js HTTP/1.1" 200 6888
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /o2o/resources/js/common/common.js HTTP/1.1" 200 1005
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /o2o/frontend/listshops?pageIndex=1&pageSize=10&parentId=9&areaId=&shopCategoryId=&shopName= HTTP/1.1" 200 1313
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:13 +0800] "GET /upload/item/shop/9/2017060420464594520.png HTTP/1.1" 200 93433
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:14 +0800] "GET /o2o/frontend/listshopspageinfo?parentId=9 HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:15 +0800] "GET /o2o/frontend/index HTTP/1.1" 200 4589
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:15 +0800] "GET /o2o/resources/css/frontend/index/index.css HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [05/Jun/2019:08:44:15 +0800] "GET /o2o/resources/js/local/logout.js HTTP/1.1" 200 516
